title,review,date
Great zoo,"Went with 8 year old, haven't been since before Covid, but really enjoyed it. The park in general is on a hill, so lots of walking but pushchairs and wheelchairs are available, the park is clean and well maintained.We really wanted to see haggis, but apparently he's lazy and doesn't wake up till early afternoon, we went in 3 times to try and see him, but sadly only saw him asleep. We did find that lots of the animals are sleeping early, we arrived about 11, and saw more animals up and active in the afternoon.The chimps, big cats and giraffes were all worth the effort to see.The park has a few play parks of good value, a large one by the penguins and another near the chimps.We did want to see the penguin parade, online seemed to suggest it was still a thing, but couldn't work out if it was on. The QR code scanner didn't really answer the question, so we hung about hoping it was on, but sadly not. A nice bit sign would have been good!Meal wise we at at the grasslands, limited choices for my dairy free son. But portions were bit. £22 for a hotdog and chips, a coffee and a kids pizza and chips for him.It does end up expensive, but it's a rare trip and I can't imagine it's cheap to keep a family of rhino's.",23 February 2025
Very good.,"When I was at Edinburgh Zoo today, we could at the Grasslands Restaurant. My  husband had a nourse bleed and the manager Rosa looked after him.  Got him a fresh  coffee.  She was caring and understanding. Just shose you that there is still people out there that are very, very good at their job ,and very caring.  Thank you so much Rose. And all the staff10 out of 10.xx",20 February 2025
Complete scam!,"An absolute waste of time and money. Spent two and a half hours traipsing around to see a grand total of 4 different animals. Ridiculous. Desperately wanted to see a capybara (have been recovering from illness which almost killed me so this was my whole reason for travelling for 4 hours.) the capys were locked in a tiny room out of sight. Appalling waste! I understand the weather is cold, but If a zoo can’t work as a zoo, close it until better weather instead on scamming people out of their hard earned money!",17 February 2025
Half term trip with our son,"We visited today and had a great time! Last time we were at the zoo was around 6-8 months ago, so it had been a while. We saw loads of animals and Haggis was a highlight! We had lunch in the Grasslands restaurant (again quite good), and bought some Haggis merch. Its not an inexpensive day out but we had a lovely day. Staff and volunteers always friendly!",12 February 2025
Not Worth The Price,"I visited about two years ago and from what I remember, I had a great day out. Decided to revisit with my mum as we were staying in Edinburgh. We got the No 26 bus from Princes Street and got off opposite the zoo.Received a warm welcome upon arrival.Staff were friendly. Cost almost £60 for both of us, which seemed rather expensive.The zoo is situated on a hill so there are a lot steep slopes. I can imagine it would be challenging pushing someone in a wheelchair or if someone is physically challenged or has health issues.We went into The Gannet for lunch. Although the coffee was nice, the food and drinks were pricey. The Grasslands Restaurant and the Penguin Cafe were closed which was understandable as it's out of season.We were disappointed as many of the enclosures were empty or closed for refurbishment. I'm aware work needs to be done to ensure that the zoo is maintained but charging £29 for an adult ticket is extortionate. The ticket price should be reduced in low season or if there is work carried out and some areas are closed. My mum and I felt like we were ripped off.",23 January 2025
Fantastic father son day trip. Would definitely recommend!,"Genuinely surprised how enjoyable our visit was.Took my 8 year old on a father son trip and we both had a really great time. Better than I had expected!Overall there were loads of interesting animals, almost all set up in a way that you could get a good or exciting view of them. We both were stopped in our tracks seeing the lions, tigers, zebras and giraffes in particular.Even where animals were sleeping you could often still get a good view of them through various observation windows. The one exception was Haggis, the celebrity baby pigmy hippo. In the end we had to visit the enclosure 3x to see Haggis live, with our 1st 2 stop offs being a little disappointing. I can’t help but feel a viewing window or video screen with live webcam of the sleeping area would have helped give the hippos the peace they needed whilst also giving visitors a little something.Food; We had lunch at the Grasslands restaurant. For kids it was slightly “beige” but was not outrageously priced for a tourist attraction, service was quick, the restaurant clean and my soup very nice. When the food arrived I didn’t begrudge the spend but equally can understand why some would bring their own picnics.The zookeeper talks were quite fun and informative although it was a shame there were only 2 throughout the day, we would have happily visited more!One Warning: if you struggle with mobility maybe this isn’t the zoo for you. Some paths are steep (although to be fair  they’re marked as such on the free map)  and the whole zoo is situated on a hill. That said, we saw plenty of folks happily pushing prams around so don’t be put off just because you have little ones.Tip: take at least 2 of the maps as you enter the zoo…. Whilst the new maps may now be easier to recycle,  your average child navigating with one will have accidentally ripped it to shreds within the first 90mins.",15 January 2025
"Very clean and big zoo,would visit again maybe in the summer.","Fairly priced as it is a big zoo. A few animals were not available to see so this was disappointing but it was bitterly cold and still some snow on the ground. Very big zoo and wasn't too busy,definitely gives you a good work out . Think it would be better visiting when bit warmer. Giraffe talk was also good. All enclosure seemed to be big enough and animals seemed happy. Would definitely visit again in the warmer weather.",9 January 2025
Going to the Zoo... how about you?,"We've been non-members for only about three years in the last quarter century, so maybe I'm biased. Makes for a great day out, even with 22 year-old kids :-)However, can't recommend the restaurant. First time I've paid over £40 for a meal for three including a pizza with cheese that wasn't melted and a bowl of soup for my wife. My mixed bean loaded fries were good, though they were skin-on skinny fries, not wedges as advertised. All I can say is we all thought the coffees were good.Enjoyed seeing the penguins out of their enclosure - and lions and tigers inside their enclosure!",2 January 2025
Amazing!,"Not only does this zoo host an amazing collection of animals and displays, you get a decent workout walking all around. So many highlights, right from the meerkats who greet you when you arrive to the artworks that dot the park. We were busy tracking our way around but there are heaps of playgrounds for families to break their walks.",28 December 2024
Underwhelming,"The zoo was underwhelming. It wasn't very exciting. There wasn't a lot to do except follow the trail and walk around. There were no guides and staff were not very helpful or accommodating. The zoo at Flamingo Land is much better, in my opinion. And more value for money.",24 December 2024
Amazing day!,"I had the most amazing day. We went to the tiger talk at the beginning and we spoke with keep Maurice who was great, informative and lovely to talk to. We later saw him at the waddle walk in the afternoon. DO NOT MISS THIS. It was the best thing I’ve ever witness at a zoo… I’ve worked at Longleat and I was very impressed with this idea. It was enjoyable, funny, and most importantly save for the penguins. We got lots of info about the penguins waddling by. It was fantastic! We laughed when we found out it was in a hill but that didn’t matter to us. I believe they have support for those that need it. It was great to hear about the conservation and any keeper/volunteer we spoke to were very passionate! We loved every mother. The giraffe house and chimp house were very impressive. We had a picnic that day so not sure what care was like. Gift shop was lovely and reasonable pricing! I got a little teddy penguin and magnet for under £10. Ticket prices were fine, it all goes towards the lovely animal so we appreciate this a lot. The map was great and we planned our visit well. Some enclosures were empty but not too many. Some animals were not to be seen, but that was to be expected as they are not their to be on display! We loved every moment and I’m so sad that I live far down south because I would definitely apply to be keeper or be a member. There was a lovely atmosphere and the staff were very lovely to talk to which just made it for us. Thank you Maurice for your talks. I will return one day! I will be looking out in the penguin cam.",16 December 2024
Great day out!,Visited on a Saturday in December. It wasn’t as busy as we anticipated which was great. Parking is £4 per car for the entire day but free for members. Only problem with it being off peak season was that a lot of the shops/ cafes were shut which was a shame. We really enjoyed the penguin waddle which takes place at 14:15 at the weekends and we managed to see Haggis the new hippo. Only thing that did catch us off guard was how much of a slope the zoo is on. It’s very steep and I can imagine would be very inaccessible for those who struggle to mobilise. The entire zoo is outside so luckily it didn’t rain. We really enjoyed ourselves.,15 December 2024
Disappointed trip,Very disappointed to be honest so many empty enclosures we travelled a long way as we had heard it was the best zoo well we certainly didn't think so it's not a cheap day either.,14 December 2024
Large and nice zoo in beautiful surroundings,"Nice place to visit also in the winter. I especially liked the lava, and I was lucky to see her move around. The animal assistant was good at telling us about the beautiful animal. There were also small, cute armadilloes running around on the ground. The tiger walked restlessly back and forth in front of the glass, I got a little hurt of it, it seemed uncomfortable. The goats were beautiful, the penguins and suricates were lovely and smart, and some of the penguins and the little monkeys were curious about us, and looked to thrive fine. Nice place to visit, there are a lot upstairs, so can be okay to know for those who are poor to bones.",
Not convinced,"I didn’t like having a 10% donation automatically added to the already expensive ticket price making it almost £30 per person.This seems expensive compared to other zoos.It is winter so perhaps it it better in summer but the whole place looks tired and unkempt. It was cold so perhaps some of the animals were inside but we didn’t actually see many animals.We saw one lonely rhino, one sad looking red panda and one sleeping tiger.  What we saw more of was penguins, flamingos, giraffes and meerkats. Also three zebra and two anteaters.It seems that many of the enclosures are empty. Signage is poor- no sign to the top of the hill for example - and had we not followed other people up there we would not have got to the giraffes. A properly marked trail so you get to see everything and don’t go down dead ends would be so much better. Thank goodness we had a paper map otherwise it would have been hopeless.The view from the top is lovely. The sun was shining and it was picturesque.Some of the enclosures look as though they have had a lot of money spent on them like the penguins and the giraffes. Others don’t. A lot of the pools were empty. The rhino just had a lot of mud and he was pacing over the empty concrete pool.I have seen much better zoos around the world and this one left me feeling a bit sad for the animals.",11 December 2024
A great day out as usual,"Edinburgh Zoo is always a great day out, even in freezing cold weather! I always recommend Edinburgh zoo to anyone coming to Edinburgh or even a local friend who’s a bit bored. Ever time we visit we start by walked up the hill and herring the hard part out of the way first, which I recommend.Edinburgh zoo has so many animals too see, and we even saw wee haggis!The reasons why I couldn’t give our day out a five star are as follows:The signage wasn’t great and it’s easy to miss parts out. Also in some areas the signs were either faded off or had withered away partially and weren’t clear.We had lunch at the grasslands café and the food was lovely, the only problem was that the staff kept getting confused and couldn’t figure out things like table numbers and brought our food round several other tables before us. Also there was quite a queue for tables and I think it might have been good if you could reserve tables, especially for people with accessibility needs.Another thing that would have improved our visit would have been if there was maybe some adults only areas (just one small corner or something) as it can get very overstimulating with screaming kids everywhere!!",8 December 2024
Worth a visit,"A good morning spent walking around the zoo, we are members of Chester zoo so our visit was free of entry charges which was a bonus.The zoo is on many levels so a few hills steeper than others, but on the whole accessible to most people.  We did see people on mobility scooters but unsure if they rent these out here!The bus service is right outside the doors but they also had a car parkOn the whole a decent few hours spent",6 December 2024
Great zoo trip,Great zoo. Animals looked well cared for. Very hilly so be prepared for that. Penguin Waddle was the best but for us! Food was good there in the restaurant too.,26 November 2024
The Major General,"The volunteer by the penguins was very knowledgeable and I was delighted to see Nils Olav upon visiting.Good selection of species on display, although I think the Wee Beasties section could do with some more attention.",18 November 2024
Great zoo,Loved our visit. My boyfriend loves zoos so he really enjoyed. Be warned it is very hilly so definitely use the map and plan your route to avoid unnecessary hill climbs. Probably takes about 4-5h to enjoy the experience without feeling rushed. The lego animals are great.,18 November 2024
Fun day at zoo,Great trip to the zoo. We saw lots of animals and some like the penguins and zebra were very active which was fun. Ate looking at the penguins good choices but seating was very full inside. Lovely friendly and informative staff. All in all a very enjoyable day.,15 November 2024
Great zoo,"What a great zoo. We were there 5 hours and just about managed to see it all. Best penguin area that I have ever seen.Zoo is on a steep hill and can be hard going in places, but we just took it slowly.They do hire scooters for visitors with mobility issues - great ideaWill definitely return again if in Edinburgh",3 November 2024
Zoo with a view,"A great day at Edinburgh zoo. A very well kept zoo with lots of animals. Good facilities & food.The staff & volunteers absolutely made our trip. They were all so friendly, approachable & knowledgeable.Would definitely recommend a visit.",23 October 2024
Very calming atmospheric visit with beautiful views.,"The zoo is still such a calm and lovely spot for families and friends alike. Loved the exhibits in the magic forest and penguin rock! We were shown a lot of things by Sophie who had what felt like a bottomless well of information! She was so lovely and helpful about good times to visit some of the enclosures, got to see a very handsome Rhino thanks to her suggestion!Would love to be able to catch some of the animals that were a bit more reclusive this visit next time. Will definitely be back.",22 October 2024
First visit to the zoo,"A warm sunny October day, 2 adults and 3 teens, loved the penguins and giraffes and monkeys, didn't see any big cats...couldn't find them, no sign of the  pallas cats, lots of uphill walking, was hoping for a lemur walkway to get close but no. Food/drink bit expensive as is usual at attractions like this, bit disappointed if im honest, probably won't go again.",20 October 2024
Zoo with a view,Amazing views from the top of this zoo where the giraffes are. Very hilly but worth the trip. A good selection of animals. We took a pack lunch and there were a lot of places to sit and eat it including benches.,19 October 2024
Good day,"Visited today as a couple away for the weekend ,We had a great day loved the giraffes    and penguins the most ,Autumn has set in so grounds looking a bit sad now , animals look in til top condition ,Toilets really need some TLC the shop they are shocking ,Anyone  with any walking difficulties beware this place has very steep walks and climbs up to see the big animalsAll in all we enjoyed our day thank you",19 October 2024
"Great ""Wicked Encounters""",We are RZSS members and often visit Edinburgh Zoo. We were pleased with this morning's chance to get very close to some unusual animals in the Wicked Encounters space in the Budongo Trail building. We're sure it takes a lot of resources to plan and staff the site but it was very popular (lots of big eyes on children). We hope Wicked Encounters will continue beyond the autumn.,14 October 2024
Disappointed,"Disappointed that there were no snakes ,elephants , crocodiles and a lot of empty spaces.  The plus side was the tigers ,lion , penguins, giraffes . Last visited in the 1960s but needs a lot of work now.",11 October 2024
To see,A very nice zoo to get to comfortably by bus..animals that enjoy large well-kept spaces.Very nice couple of tigers and very nice penguin parade,
Very nice.,"Very nice day. The day was cloudy and cold, but I enjoyed it.Very large enclosures for a few animals, I found the thing very positive, so much space for a few specimens.It was nice to get into the kangaroo enclosure.The map is essential because the zoo is really big.Visit Recommendation, and Recommendation to be there by 2pm in time for the Penguin Parade, which is great fun.",
Waste of time and money,"Avoid at all costs is our review.Waste of time and money and a day of our holiday which could have been spent better.I am realistic not to expect the animals to be standing in the centre of the cage or open space but it really was spot the animal competition!More empty cages and open closure's than full.A bad advert for Edinburgh and Scotland.If you do go take your own food,two hot drinks and two sandwiches for £18!!!!What a rip off.Take our advice,go to Chester Zoo, this is a sorry state of a zoo.At least the bus was easy to get back to Edinburgh city centre.Awful, Animal Magic this is not.",24 September 2024
